,date,news,score
0,2022-01-09 08:52:27,"Barnett & Company Inc. Sells 451 Shares of Apple Inc. (NASDAQ:AAPL)Barnett & Company Inc. cut its holdings in shares of Apple Inc. (NASDAQ:AAPL) by 8.8% in the 3rd quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The fund owned 4,660 shares of the iPhone maker’s stock after selling 451 shares during the period. Barnett & Company Inc.’s holdings in […]
",0
1,2022-01-09 11:38:32,"The cheapest Sonos speakers are now even better valueSonos is widely regarded as one of the pioneers of wireless home speakers. As one of the trailblazers, the company has developed numerous patents regarding wireless speaker connectivity (as Google …
",1
2,2022-01-09 17:47:53,"Breaking Down 2022: Riding The WavesNearly two years into the pandemic, patterns are emerging and certain economic outcomes tend to follow, which can help investors navigate in otherwise uncertain times. The dominant theme – global inflation – will surely be a central force in 2022.
",1
3,2022-01-10 01:22:36,"TSMC Sales Set Sixth Quarterly Record on Elevated Chip Demand
",1
4,2022-01-10 04:16:27,"A Top Antitrust Lawyer on How Increased Competition Could Fight Inflation
",0
5,2022-01-10 06:02:54,"iPhone SE 3 just tipped for next big Apple EventPrepare for the iPhone SE 3 to appear in March or April
",1
6,2022-01-10 06:38:10,"D. Scott Neal Inc. Grows Stock Holdings in Apple Inc. (NASDAQ:AAPL)D. Scott Neal Inc. lifted its position in shares of Apple Inc. (NASDAQ:AAPL) by 9.7% in the 3rd quarter, Holdings Channel.com reports. The firm owned 2,430 shares of the iPhone maker’s stock after purchasing an additional 215 shares during the period. D. Scott Neal Inc.’s holdings in Apple were worth $344,000 as of its most […]
",1
7,2022-01-10 07:11:33,"81,576 Shares in Zynga Inc. (NASDAQ:ZNGA) Bought by BI Asset Management Fondsmaeglerselskab A SBI Asset Management Fondsmaeglerselskab A S bought a new position in Zynga Inc. (NASDAQ:ZNGA) in the third quarter, according to the company in its most recent 13F filing with the SEC. The firm bought 81,576 shares of the company’s stock, valued at approximately $614,000. A number of other hedge funds have also recently modified their […]
",1
8,2022-01-10 08:20:57,"Apple AirTags see rare discount down to $23 each when you buy fourToday only, Woot is offering a 4-pack of Apple AirTags for $93.99 with free shipping for Prime members. A $6 delivery fee will apply otherwise. Normally fetching $99, today’s offer is the first discount we’ve seen since back on Cyber Monday and drops the price of each item finder down to $23. Apple’s first take…
",1
9,2022-01-10 08:55:52,"Pair your Apple Watch with this genuine leather band at just $8.50 (Save 22%)Marge Plus (98% positive all-time feedback from 2,100+) via Amazon offers its Leather Apple Watch Band for $8.49 with free shipping for Prime members or in orders over $25. Normally fetching $11, you’re looking at 23% in savings alongside the best price in well over a year at $1 under previous mentions. Compatible with the…
",1
10,2022-01-10 09:21:37,"TurbineOne Raises $3 Million to Deliver to Ground Forces the Information They Need to Navigate Dangerous EnvironmentsTurbineOne, the frontline perception company, dedicated to empowering first responders and warfighters with the world’s best technology, today announc
",1
11,2022-01-10 09:45:05,"Thinking about trading options or stock in BioMarin Pharmaceutical, Dell Technologies, Apple, ConocoPhillips, or Kroger?Thinking about trading options or stock in BioMarin Pharmaceutical, Dell Technologies, Apple, ConocoPhillips, or Kroger?
",1
12,2022-01-10 10:46:38,"Razer's Kishi iPhone controller grip upgrades Apple Arcade at $80, Android model at $55Amazon is currently offering the Razer Kishi Mobile Game Controller for iPhone at $79.99 shipped. Down from $100, you’re looking at the third-best price to date alongside 20% in savings and the lowest price in months. The Android version is also on sale for $54.99, down from $80. Whether you’re looking to step up the Apple Arcade experience or…
",0
13,2022-01-10 11:32:37,"Alphabet (GOOGL) to Bring New YouTube Music Feature to Wear OSAlphabet's (GOOGL) Google is gearing up to add a home screen tile to the YouTube Music app for Wear OS, per reports.
",1
14,2022-01-10 12:43:06,"The notch-free iPhone 14 could look just like thisA mock-up shows an iPhone 14 with a pill-shaped camera cutout replacing the notch
",1
15,2022-01-10 13:08:35,"Apple implies it generated record revenue from the App Store during 2021Apple said Monday that it paid developers $60 billion in 2021, a figure that suggests that App Store sales continue to grow at a rapid clip.
",1
16,2022-01-10 13:55:31,"ASX set to fall as Wall Street’s tech woe continuesWall Street has kicked off the new week with more losses, with tech companies again leading the way down.
",-1
17,2022-01-10 15:04:12,"Sheppard Mullin Expands Tech Transactions Expertise in Digital Media, Tech and AdvertisingSheppard, Mullin, Richter & Hampton LLP is pleased to announce that Marisa Brutoco has joined the firm as a partner in the Entertainment, Technolo
",1
18,2022-01-10 16:34:56,"Today's Best Deals: Savings You Won't Want to MissWelcome to Deals of Note, where Gear Patrol captures all the best deals of the day. You can also follow all our deal posts in the Deals section.
",0
19,2022-01-10 18:02:27,"Facebook delays return to office until March, Covid-19 boosters requiredThe Menlo Park, California-based company previously planned to fully reopen offices for vaccinated employees on Jan. 31. 
",-1
20,2022-01-10 23:03:25,"We Should Assume That The Tesla Phone Is A MythI wasn't going to write up an article about the so-called Tesla ""Pi"" phone, but I received a message from one of my friends who saw a video on TikTok about it. They wanted to
",0
21,2022-01-11 01:45:36,"Apple submits plans to allow alternative payment systems in S.Korea - regulatorSEOUL — South Korea’s telecommunications regulator said on Tuesday that Apple had submitted plans to allow third-party payment systems on its app store, to…
",1
22,2022-01-11 04:21:26,"Dealmakers Face Regulatory Reckoning From EU After Buying Spree
",0
23,2022-01-11 05:28:05,"According to Garmin, the workout trends of 2021 were yoga, pilates – and lots of mudInteresting results from Garmin's latest fitness report
",1
24,2022-01-11 06:08:55,"Signs Point to ContextLogic’s Sales Slide Extending Into DecemberInvestors in troubled e-commerce play WISH stock should brace for another quarter of double-digit revenue declines when the ContextLogic reports Q4 2021 earnings results in March.
",-1
25,2022-01-11 06:53:15,"DGRW: First-Class Dividend QualityWisdomTree U.S. Dividend Growth ETF (DGRW) follows a strategy based on dividends, earnings growth and profitability. Read more about DGRW ETF here.
",1
26,2022-01-11 07:41:36,"Here are dozens of ‘cheap’ stocks that could be poised to outperform as U.S. rates start to riseOur call of the day from Lori Calvasina at RBC Capital Markets has a few ideas on where investors need to look for stocks to invest in as rates begin to rise.
",1
27,2022-01-11 08:28:38,"There’s one area Microsoft is beating Apple – with right to repairMicrosoft’s repairable Surface Laptop SE should put pressure on Apple
",-1
28,2022-01-11 09:19:18,"GlobalWafers Said to Near China Approval for Siltronic Deal
",1
29,2022-01-11 10:11:17,"Nvidia and Arm fight back as U.K. competition regulator considers blocking dealThe semiconductor giants submitted a document to the U.K. regulator explaining why the deal should be permitted to go ahead. 
",0
30,2022-01-11 11:24:59,"9 ways Warren Buffett's frugal habits can help you save money like a billionaireThe uber-wealthy investor is thrifty with everything from his breakfast to his house
",1
31,2022-01-11 12:26:09,"Index evidence BetterInvesting members learn how to invest successfullyBetterInvesting members identify stocks for long-term growth
",1
32,2022-01-11 13:10:51,"Why Nvidia Stock Just PoppedNvidia tries to bring its Arm merger back to life.
",1
33,2022-01-11 14:32:39,"Wall Street bounces as Powell's testimony brings some reliefU.S. stock indexes were gaining ground on Tuesday with Nasdaq leading the advance as investors appeared relieved that Federal Reserve Chair Jerome Powell’s…
",1
34,2022-01-11 15:49:54,"eToro’s weekly Nasdaq focus: 2022 markets outlook, as bond yields rise and volatility jumpsJosh Gilbert – market analyst at global invetment platform eToro – gives investors the scoop on all things Nasdaq-related.
",1
35,2022-01-11 17:34:32,"Steve Jobs Told Zynga In-App Purchases Were 'Stupid.' 15 Years Later, The 'FarmVille' Creator Lands Biggest Video Game Deal Ever.One of the biggest news items of the early new year Take-Two Interactive Software, Inc.'s (NASDAQ: TTWO) $12.7-billion acquisition of Zynga Inc (NASDAQ: ZNGA).
",1
36,2022-01-11 21:08:43,"Leafly and Merida Merger Corp. I Announce $30M Convertible Note FinancingLeafly and Merida Merger Corp. I Announce $30M convertible note financing
",1
37,2022-01-12 01:27:28,"Time to buy: Retail investors swoop in when stocks falterU.S. retail investors have been dip-buyers so far in 2022, snapping up equities that funds have shed from their portfolios in light of a more hawkish Federal Reserve, but with a focus on quality stocks as opposed to speculative names.
",1
38,2022-01-12 04:16:36,"Project Cambria: All there is to know about Meta's rumored Oculus Quest ProA new, high-end VR headset is in the works at Meta
",1
39,2022-01-12 06:11:11,"PNC Financial Services Group Inc. Has $3.45 Billion Stake in Apple Inc. (NASDAQ:AAPL)PNC Financial Services Group Inc. trimmed its stake in Apple Inc. (NASDAQ:AAPL) by 1.7% in the 3rd quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The fund owned 24,356,644 shares of the iPhone maker’s stock after selling 428,134 shares during the period. Apple makes up about 3.2% of PNC […]
",1
40,2022-01-12 07:16:31,"iPhone at 15 — is Apple now innovating or just iterating?The real lesson Steve Jobs passed on
",0
41,2022-01-12 07:40:33,"CACI Secures $514M Contract for Modernizing US Army NetworksCACI wins a $514 million contract to deliver enterprise technology needed for the network modernization of the outside plant infrastructure and facilities across major U.S. Army locations.
",1
42,2022-01-12 08:23:26,"Tesla could be forced to report Full Self-Driving Beta data to DMV after ‘videos showing dangerous use’Tesla, who managed to avoid reporting autonomous driving data to the DMV, could be forced to open the books on its Full Self-Driving (FSD) Beta to the California DMV after what the latter called “videos showing dangerous use”. Many companies from Apple to Tesla have been testing autonomous driving technology in California. The California DMV […]
",0
43,2022-01-12 09:17:30,"Roku Got Some Very Good News, Should You Buy?Roku has two potential paths to profit: advertising and commissions. I am short-term bullish but long-term bearish. Read why I assign a neutral rating to ROKU.
",0
44,2022-01-12 09:56:36,"S&P 500: Bulls Are Coming Back?The S&P 500 index is expected to open 0.4% higher this morning following the Consumer Price Index release which was slightly higher than expected at +0.5% m/m.
",1
45,2022-01-12 10:34:27,"Meta Platforms Earnings: What to WatchCan results come in strong enough to pull the stock out of the doldrums?
",1
46,2022-01-12 11:19:51,"Stock Market Today: Traders Buy The Dip, Stocks ReboundStocks saw a major rally on below average volume today and off of major support levels. What does that mean for investors and traders going forward?
",1
47,2022-01-12 12:53:14,"Sky Glass TV best settings, tips and tricksGet the most out of your new Sky Glass TV
",0
48,2022-01-12 13:29:21,"How to use the new Child Safety features in iOS 15.2iOS 15.2 includes a suite of fresh Child Safety features
",0
49,2022-01-12 14:56:22,"S&P 500: Bulls Are Coming Back?The S&P 500 index gained 0.92% yesterday, as it got back above the 4,700 level. The broad stock market’s gauge extended its advance
",1
50,2022-01-12 15:46:30,"Microsoft hires key Apple engineer to design server chips - Bloomberg NewsMicrosoft Corp hired a key Apple Inc engineer to design its own chips for its servers, Bloomberg News reported on Wednesday, citing people with knowledge of the matter.
",1
51,2022-01-12 17:04:50,"Organize your workspace with this expansive L-Shaped Desk for $180 (Save $100)Amazon is offering the Techni Mobili Functional Storage L-Shaped Computer Desk for $179.98 shipped. Normally going for $280, you’ll be scoring $100 off that price plus the second-best deal we’ve seen. The L-shaped desk provides a neat and clean look to your office space with grey laminated wooden panels, two side storage drawers, and two…
",1
52,2022-01-12 18:49:51,"Hedge fund manager gives tips for trading Apple, other Big Tech stocks right nowInvestors should avoid trying to predict short-term bounces for Big Tech stocks and be wary of pullbacks, according to David Neuhauser, CIO at Livermore Partners.
",0
53,2022-01-12 21:30:27,"China's zero-Covid strategy hurts consumer spending more than manufacturingManufacturers are less affected by city lockdowns since factories are typically spread out in suburban industrial parks, according to an economist at the EIU.
",1
