,date,score
0,2023-01-01 00:19:34,1
1,2023-01-01 05:54:24,1
2,2023-01-01 14:20:37,0
3,2023-01-02 05:08:21,1
4,2023-01-02 09:50:11,1
5,2023-01-02 16:03:34,1
6,2023-01-02 22:38:29,1
7,2023-01-03 05:18:04,-1
8,2023-01-03 07:04:05,0
9,2023-01-03 07:56:30,1
10,2023-01-03 08:50:57,1
11,2023-01-03 09:42:30,1
12,2023-01-03 10:48:17,-1
13,2023-01-03 11:40:47,1
14,2023-01-03 12:46:46,-1
15,2023-01-03 13:06:14,0
16,2023-01-03 14:13:53,1
17,2023-01-03 15:17:21,1
18,2023-01-03 16:57:31,-1
19,2023-01-03 17:48:15,-1
20,2023-01-03 18:50:21,-1
21,2023-01-03 21:00:54,1
22,2023-01-03 21:03:25,1
23,2023-01-03 21:43:26,-1
24,2023-01-04 01:20:18,1
25,2023-01-04 04:39:24,1
26,2023-01-04 05:43:41,-1
27,2023-01-04 06:43:41,0
28,2023-01-04 07:18:14,1
29,2023-01-04 08:08:45,1
30,2023-01-04 08:48:14,-1
31,2023-01-04 09:31:02,-1
32,2023-01-04 10:12:03,1
33,2023-01-04 10:50:50,1
34,2023-01-04 11:58:32,1
35,2023-01-04 13:01:41,1
36,2023-01-04 14:11:23,-1
37,2023-01-04 15:28:15,1
38,2023-01-04 17:03:24,1
39,2023-01-04 17:05:50,1
40,2023-01-04 18:12:06,-1
41,2023-01-04 20:17:55,1
42,2023-01-04 21:50:21,1
43,2023-01-05 01:05:45,0
44,2023-01-05 05:05:45,0
45,2023-01-05 06:02:45,-1
46,2023-01-05 07:34:26,0
47,2023-01-05 08:43:21,-1
48,2023-01-05 09:40:12,0
49,2023-01-05 12:13:46,1
50,2023-01-05 13:40:35,-1
51,2023-01-05 14:22:26,0
52,2023-01-05 15:22:24,1
53,2023-01-05 16:16:35,1
54,2023-01-05 17:40:17,0
55,2023-01-05 19:10:47,1
56,2023-01-05 19:13:38,-1
57,2023-01-05 19:17:48,0
58,2023-01-05 23:48:14,1
59,2023-01-06 02:06:56,1
60,2023-01-06 05:10:31,0
61,2023-01-06 07:04:23,0
62,2023-01-06 08:17:30,-1
63,2023-01-06 10:11:17,1
64,2023-01-06 11:36:47,1
65,2023-01-06 13:51:35,1
66,2023-01-06 16:27:28,1
67,2023-01-06 16:57:32,1
68,2023-01-06 18:18:25,1
69,2023-01-06 19:17:06,1
70,2023-01-07 03:08:23,0
71,2023-01-07 07:08:21,0
72,2023-01-07 09:16:31,1
73,2023-01-07 13:14:30,1
74,2023-01-07 17:16:19,-1
75,2023-01-08 04:07:39,-1
76,2023-01-08 08:12:31,1
77,2023-01-08 14:54:23,1
78,2023-01-09 00:38:14,1
