,date,news,score
0,2022-01-01 02:06:21,"Is Fitbit Premium worth it? Here's the pros and consSo you’ve got a new Fitbit, but is it worth subscribing to the Premium membership? Here’s everything you need to know.
",78
1,2022-01-01 07:35:13,"OPEC+ Seen Reviving Output in Sign of Confidence for 2022 Demand(Bloomberg) — OPEC and its allies are expected to revive more oil supplies when they meet next week, underscoring the group’s optimism in the outlook for…
",65
2,2022-01-01 11:46:37,"Class Action Lawsuit Reminder:  Kessler Topaz Meltzer & Check, LLP Reminds Investors of Snap Inc. That A Securities Fraud Class Action Lawsuit Has Been Filed on Their BehalfClass Action Lawsuit Reminder:
",85
3,2022-01-01 17:16:31,"Why This Analyst Thinks Tesla Is A $2,500 Stock, And When It May Reach That Price TargetTesla, Inc. bull Gene Munster, Managing Partner at Loup Funds, is optimistic that the EV giant's stock will continue to outperform. Longer-term, Tesla shares are worth $2,500, the analyst said. 
",85
4,2022-01-02 04:49:54,"Stockman Wealth Management Inc. Has $13.05 Million Holdings in Apple Inc. (NASDAQ:AAPL)Stockman Wealth Management Inc. boosted its stake in shares of Apple Inc. (NASDAQ:AAPL) by 2.9% in the third quarter, HoldingsChannel reports. The firm owned 92,228 shares of the iPhone maker’s stock after purchasing an additional 2,624 shares during the quarter. Apple accounts for about 2.9% of Stockman Wealth Management Inc.’s holdings, making the stock its […]
",45
5,2022-01-02 09:39:05,"Apple AirPods Pro 2 tipped to get lossless audio support and a case you can trackLaunching late in 2022?
",65
6,2022-01-02 17:36:36,"2 of the best ETFs for diversificationiShares S&P 500 ETF (ASX:IVV) and this other ETF could be strong options for investment diversification and potentially compelling returns.
",20
7,2022-01-03 03:51:36,"Amazon, Alphabet, Apple,Facebook,Square, Microsoft Elliott Wave AnalysisStocks analysis overview: risk-on for short trading.
",85
8,2022-01-03 06:47:33,"3 Surefire Metaverse Stocks That Could Make You Richer in 2022The coming virtual world could be a game-changer.
",25
9,2022-01-03 07:40:30,"Should Vanguard Russell 1000 Growth ETF (VONG) Be on Your Investing Radar?Style Box ETF report for VONG
",78
10,2022-01-03 09:04:34,"Bitcoin at $100,000 or Popped by Fed? Analysts Give Their 2022 Views
",85
11,2022-01-03 09:40:47,"Thinking about trading options or stock in Nio, SentinelOne, Apple, NVIDIA, or Pfizer?Thinking about trading options or stock in Nio, SentinelOne, Apple, NVIDIA, or Pfizer?
", 20
12,2022-01-03 10:26:39,"Tech Payouts Can Propel Duo of Dividend ETFsTechnology remains a low-yield sector. For example, the S&P 500 Information Technology Index sports a dividend yield of just 0.64%.
",85
13,2022-01-03 11:16:19,"EZQuest Announces New USB-C Gen 2 Hub Adapter With Seven Powerful PortsEZQuest is announcing a new USB-C Gen 2 Hub Adapter that comes equipped with seven powerful ports.
",85
14,2022-01-03 12:00:36,"Apple gets closer to $3 trillion market valueApple Inc on Monday inched closer to $3 trillion in market value with the iPhone maker’s shares gaining on the first day of trading this year.
",20
15,2022-01-03 12:57:24,"Alphabet - Greater Than the Sum of Its Parts?GuruFocus Article or News written by Joshi Namit and the topic is about: Even at a $1.9 trillion market cap, it seems Alphabet still has upside potential
",20
16,2022-01-03 13:59:00,"Apple stands alone as market cap hits $3 trillionApple, which is known for doing things differently than any other company, added to it uniqueness, Monday, as it became the first company to reach a valuation of $3 trillion.
",10
17,2022-01-03 14:17:49,"Apple’s $3 trillion market value follows 5,800% gain since iPhone debutApple on Monday became the first publicly traded company with a stock market value of over $3 trillion, marking the latest milestone in the Silicon Valley heavyweight's spectacular stock surge since introducing the iPhone in 2007.
",85
18,2022-01-03 14:34:40,"Apple becomes first U.S. company to hit $3 trillion market valueApple Inc on Monday became the first U.S. company to hit $3 trillion in market capitalization, thanks to investor confidence that the iPhone maker will keep…
",20
19,2022-01-03 15:05:25,"Arlo's new smart home security system has versatile six-in-one sensors, joins Matter allianceThe new Arlo smart security system has been showcased at CES alongside the announcement of Arlo supporting Matter going forward.
",20
20,2022-01-03 15:54:35,"Apple Becomes First Company To Top $3 Trillion Market Cap; Analyst Says Rally Has Further LegsApple, Inc. (NASDAQ:AAPL) shares have had a rip-roaring st...
",85
21,2022-01-03 16:36:20,"Wall Street downplays worries in wishful start to 2022BOSTON — Wall Street’s New Year optimism overpowered concerns about the coronavirus and inflation on Monday, with U.S. and European equity markets advancing in…
",25
22,2022-01-03 17:10:06,"Today's Best Deals: Savings You Won't Want to MissWelcome to Deals of Note, where Gear Patrol captures all the best deals of the day. You can also follow all our deal posts in the Deals section.
",72
23,2022-01-03 18:03:31,"Apple becomes first company to hit $3 trillion market value, then slipsApple Inc on Monday became the first company to hit a $3 trillion stock market value, before ending the day a hair below that milestone, as investors bet the…
",20
24,2022-01-03 18:33:04,"Taiwan’s Tech Giants Are Being Hit by India Culture Shock
",65
25,2022-01-03 19:58:00,"Walmart temporarily shut nearly 60 U.S. stores for COVID cleaning in DecemberCHICAGO — Walmart temporarily shut almost 60 U.S. stores in COVID-19 hotspots in December to sanitize them against the virus, in a sign the new Omicron variant…
",70
26,2022-01-03 21:59:40,"Japanese shares track Wall Street's record highs in strong start to 2022TOKYO — Japanese shares jumped more than 1% on the first trading day of the year on Tuesday, led by strong performances in chip-related heavyweights and…
",78
27,2022-01-04 00:53:43,"Asian stocks hold strong in upbeat start to 2022Asian stocks were largely on the front foot on Tuesday following Wall Street's record highs on its first trading day of 2022, despite worries that the widespread Omicron COVID-19 variant could put the brakes on global economic recovery.
",35
28,2022-01-04 02:49:26,"Market Briefing For Tuesday, Jan. 4,Apple and Tesla were essential in leading the S&P to another record high yesterday. The day was iffy and these two gave the headroom for the rest of the market to gain energy.
",35
29,2022-01-04 04:36:46,"World shares stretch positive start to 2022World shares extended on Tuesday their positive start to 2022 with markets from Europe to Asia shrugging off worries the Omicron coronavirus variant could choke the global economic recovery, while the dollar rose after U.S. bond yields jumped.
",35
30,2022-01-04 06:08:03,"Bragg Announces True Energy Apple Cider Vinegar SupplementsCaffeine-free capsules provide daily dose of energy with ACV + six essential B vitamins
",35
31,2022-01-04 07:01:55,"Sonder Holdings Inc. Expands Canadian Operations With New Properties in Montreal and TorontoTech-enabled hospitality provider grows to almost 1,000 live and contracted units across three cities
",35
32,2022-01-04 07:18:27,"World shares gain steam in bright 2022 openingLONDON — World shares extended on Tuesday a bright start to 2022 as markets from Europe to Asia shrugged off worries the Omicron coronavirus variant could…
",20
33,2022-01-04 07:43:01,"Elliott Wave Analysis : Amazon, Alphabet, Apple, Tesla, Facebook, Square, MicrosoftStocks analysis overview: Markets positive, Apple leading the market higher.
",85
34,2022-01-04 08:13:28,"2022 Is A Positive Factor For InvestorsThe US stock indices closed in the green zone yesterday, while the dollar index also increased sharply. It is quite rare when both the major stock indices and the dollar are rising simultaneously.
",40
35,2022-01-04 08:35:34,"2022 Will See Increasing AI Role in Augmented and Virtual RealityABI Research's 2022 Trend Report identifies the key AR market trend that will deliver in 2022--and the one that won't
",78
36,2022-01-04 08:47:38,"Cutting Edge and Blantyre Commit $125m to Acquire Film and TV Composer’s Music Publishing RightsCUTTING EDGE AND BLANTYRE COMMIT $125M TO ACQUIRE FILM AND TV COMPOSER’S MUSIC PUBLISHING RIGHTS
",78
37,2022-01-04 09:15:38,"Apple Achieves $3 Trillion Milestone - ReportThis article was originally published on TipRanks.com Apple (AAPL) achieved a new milestone on Monday by briefly becoming the first company to reach the
",20
38,2022-01-04 09:31:48,"Financial Stocks Could be Positioned to Kick Off the Q4 Earnings SeasonThe U.S. dollar was rising against the Japanese yen Tuesday morning as foreign investors take notice of the jump in United States Treasury yields. The Japanese yen is now trading...
",65
39,2022-01-04 10:12:43,"Financials power S&P 500, Dow to record peaks; Ford shinesThe Dow and the S&P 500 hit record highs on Tuesday as worries about the Omicron variant of the coronavirus subsided and financial stocks gained, while Ford…
",20
40,2022-01-04 10:51:32,"Smartphone Accessories: VICSEED MagSafe Car Phone Mount $23, moreVICSEED (100% positive lifetime feedback) via Amazon is offering its MagSafe Car Vent Phone Mount for $22.94 with free shipping for Prime members or in orders over $25. Normally $29 or so at Amazon, today’s deal marks a return to the all-time low that we’ve tracked at Amazon. Designed to work with Apple’s MagSafe-enabled iPhone…
",65
41,2022-01-04 11:08:14,"SENTONS SHOWCASES ULTRASONIC TOUCH FOR LARGE DISPLAYS AND ANNOUNCES SOFTWARE DEVELOPMENT KIT AT CES 2022Sentons Unveils SDK and Dedicated Silicon Solution, SNT8020, for Large Panel Displays to Transform Consumer Device UX/UI
",35
42,2022-01-04 11:41:49,"Prosecutor drops groping charge against former NY Gov. CuomoAlbany County District Attorney David Soares’ decision comes three days before the Democratic ex-governor was due to answer the misdemeanor charge in court. Cuomo has denied the allegations.
",40
43,2022-01-04 12:06:28,"Warren Buffett makes over $120 billion on Apple's trot to $3 trillion, among his best bets everThe 5% Apple stake Berkshire Hathaway acquired in 2018 for $36 billion is now worth more than $160 billion as the tech giant hit $3 trillion milestone.
",20
44,2022-01-04 12:57:23,"GuruFocus Value Screeners Identify Opportunities to Start 2022GuruFocus Article or News written by James Li and the topic is about: A look at value screener records as investors ring in the New Year
",35
45,2022-01-04 13:24:39,"Santoli’s Tuesday market notes: The 10-year Treasury yield marches higher, and investors eye this key levelThis is the daily notebook of Mike Santoli, CNBC’s senior markets commentator, with ideas about trends, stocks and market statistics.
",85
46,2022-01-04 14:39:41,"OneLife in Production for the World's Most Efficient Air Purifier: OneLife XSustainable, Ultra-Quiet, German-Engineered Air Purifier Is Designed to Save Lives, Protect the Planet
",25
