,date,score
0,2022-01-01 01:04:02,65
1,2022-01-03 08:39:46,65
2,2022-01-03 15:51:00,85
3,2022-01-04 05:59:38,85
4,2022-01-04 10:47:10,40
5,2022-01-04 18:11:44,75
6,2022-01-05 11:39:58,65
7,2022-01-06 07:38:41,65
8,2022-01-06 17:35:30,85
9,2022-01-07 12:18:56,45
10,2022-01-09 08:02:47,65
11,2022-01-10 09:19:54,25
12,2022-01-10 20:34:29,42
13,2022-01-11 11:07:18,85
14,2022-01-12 07:04:06,85
15,2022-01-12 15:33:32,25
16,2022-01-13 08:30:37,45
17,2022-01-13 17:53:27,85
18,2022-01-14 12:52:39,85
19,2022-01-16 07:47:29,20
20,2022-01-17 20:36:26,85
21,2022-01-18 12:18:33,20
22,2022-01-19 06:09:37,35
23,2022-01-19 14:06:23,85
24,2022-01-20 08:05:55,25
25,2022-01-20 15:45:40,20
26,2022-01-21 10:28:11,85
27,2022-01-22 07:02:29,85
28,2022-01-24 06:03:50,78
29,2022-01-24 13:31:42,85
30,2022-01-25 07:46:14,75
31,2022-01-25 15:34:54,85
32,2022-01-26 09:27:15,35
33,2022-01-27 04:28:23,85
34,2022-01-27 12:35:31,85
35,2022-01-27 19:04:27,35
36,2022-01-28 07:58:38,65
37,2022-01-28 12:44:27,35
38,2022-01-29 09:20:37,20
39,2022-01-31 05:06:27,85
40,2022-01-31 12:41:32,85
41,2022-02-01 07:17:01,78
42,2022-02-01 15:40:12,85
43,2022-02-02 09:47:56,78
44,2022-02-02 19:59:25,65
45,2022-02-03 10:31:26,85
46,2022-02-03 15:23:15,78
47,2022-02-04 07:00:06,75
48,2022-02-04 15:24:08,85
49,2022-02-06 08:51:17,78
50,2022-02-07 10:33:44,78
51,2022-02-07 22:07:34,85
52,2022-02-08 10:22:22,20
53,2022-02-08 16:21:31,75
54,2022-02-09 09:36:41,20
55,2022-02-09 15:33:41,35
56,2022-02-10 11:37:22,85
57,2022-02-11 05:43:18,20
58,2022-02-11 16:36:36,20
59,2022-02-14 06:08:36,85
60,2022-02-15 04:57:23,78
61,2022-02-15 13:45:35,75
62,2022-02-16 09:42:43,78
63,2022-02-16 20:05:30,78
64,2022-02-17 14:40:19,78
65,2022-02-18 09:40:20,85
66,2022-02-19 05:03:27,50
67,2022-02-21 10:07:57,50
68,2022-02-22 09:16:41,78
69,2022-02-22 17:39:21,78
70,2022-02-23 15:03:57,85
71,2022-02-24 10:15:10,78
72,2022-02-25 08:08:57,78
73,2022-02-26 18:20:19,85
74,2022-02-28 07:36:32,60
75,2022-02-28 20:32:10,35
76,2022-03-01 16:09:25,85
77,2022-03-02 08:42:39,65
78,2022-03-02 15:00:41,85
79,2022-03-03 08:36:36,20
80,2022-03-03 16:29:34,20
81,2022-03-04 11:38:57,65
82,2022-03-05 12:56:33,85
83,2022-03-07 08:10:35,75
84,2022-03-07 17:50:30,65
85,2022-03-08 10:07:06,78
86,2022-03-08 14:44:06,65
87,2022-03-09 05:08:21,35
88,2022-03-09 11:54:27,20
89,2022-03-10 01:04:37,85
90,2022-03-10 10:30:38,78
91,2022-03-10 21:47:37,85
92,2022-03-11 11:17:36,20
93,2022-03-12 16:13:13,85
94,2022-03-15 10:38:21,20
95,2022-03-16 07:20:18,20
96,2022-03-16 16:13:45,20
97,2022-03-17 10:15:56,25
98,2022-03-18 07:08:59,40
99,2022-03-19 05:50:28,75
100,2022-03-21 07:19:32,25
101,2022-03-21 16:20:41,35
102,2022-03-22 11:36:46,85
103,2022-03-25 06:21:40,20
104,2022-03-25 15:02:24,78
105,2022-03-27 18:35:23,20
106,2022-03-28 09:11:01,20
107,2022-03-28 17:26:25,78
108,2022-03-29 09:52:57,85
109,2022-03-30 03:51:44,85
110,2022-03-30 11:51:31,20
111,2022-03-31 01:51:36,72
112,2022-03-31 11:35:11,20
113,2022-04-01 06:56:17,85
114,2022-04-01 15:12:16,65
115,2022-04-03 13:37:28,35
116,2022-04-04 11:50:28,45
117,2022-04-05 08:46:45,25
118,2022-04-05 18:49:31,72
119,2022-04-06 12:45:57,85
120,2022-04-07 08:46:08,35
121,2022-04-07 19:37:42,20
122,2022-04-08 16:07:01,65
123,2022-04-10 15:36:23,25
124,2022-04-11 11:24:01,35
125,2022-04-12 07:00:50,85
126,2022-04-12 14:11:32,25
127,2022-04-13 09:31:26,65
128,2022-04-13 20:19:27,85
129,2022-04-14 15:49:44,78
130,2022-04-16 18:48:17,85
131,2022-04-18 12:03:29,45
132,2022-04-19 08:05:21,75
133,2022-04-19 16:16:43,85
134,2022-04-20 11:54:28,85
135,2022-04-21 01:42:43,35
136,2022-04-21 12:58:35,85
137,2022-04-22 09:01:36,75
138,2022-04-22 18:39:16,78
139,2022-04-24 09:57:34,65
140,2022-04-25 09:09:06,85
141,2022-04-25 19:46:11,65
142,2022-04-26 12:16:04,85
143,2022-04-27 06:11:27,35
144,2022-04-27 16:28:52,78
145,2022-04-28 08:05:41,85
146,2022-04-28 16:35:59,45
147,2022-04-29 02:45:17,50
148,2022-04-29 11:21:39,20
149,2022-04-30 05:02:52,20
150,2022-05-02 07:06:55,85
151,2022-05-02 15:05:51,70
152,2022-05-03 09:03:37,35
153,2022-05-04 00:12:59,85
154,2022-05-04 16:45:53,85
155,2022-05-05 12:38:34,85
156,2022-05-06 07:02:34,85
157,2022-05-07 07:42:38,85
158,2022-05-09 08:03:48,25
159,2022-05-09 19:13:02,65
160,2022-05-10 11:27:35,75
161,2022-05-10 17:08:32,75
162,2022-05-11 09:41:53,85
163,2022-05-11 17:48:29,85
164,2022-05-12 08:37:23,85
165,2022-05-12 16:01:09,72
166,2022-05-13 08:03:24,78
167,2022-05-13 19:18:35,20
168,2022-05-15 19:06:24,50
169,2022-05-16 14:40:37,65
170,2022-05-17 09:30:50,85
171,2022-05-17 17:24:21,40
172,2022-05-18 10:59:36,70
173,2022-05-18 23:43:36,85
174,2022-05-19 12:00:25,72
175,2022-05-19 20:23:40,20
176,2022-05-20 12:08:26,65
177,2022-05-21 14:35:29,85
178,2022-05-23 09:05:43,40
179,2022-05-23 18:50:27,40
180,2022-05-24 11:00:37,85
181,2022-05-25 05:32:24,65
182,2022-05-25 12:58:30,40
183,2022-05-26 07:33:30,78
184,2022-05-26 16:19:39,25
185,2022-05-27 14:22:32,85
186,2022-05-29 21:58:42,78
187,2022-05-31 08:54:45,35
188,2022-06-01 05:17:18,35
189,2022-06-01 20:29:30,85
190,2022-06-02 14:59:27,78
191,2022-06-03 11:23:32,65
192,2022-06-05 00:54:24,78
193,2022-06-06 08:53:37,40
194,2022-06-06 15:41:35,25
195,2022-06-07 02:23:19,85
196,2022-06-07 10:11:42,35
197,2022-06-07 16:55:47,85
198,2022-06-08 07:21:30,85
199,2022-06-08 17:05:31,85
200,2022-06-09 10:05:44,72
201,2022-06-10 00:39:52,85
202,2022-06-10 14:16:33,20
203,2022-06-12 13:13:52,20
204,2022-06-13 14:26:53,20
205,2022-06-14 10:53:44,20
206,2022-06-15 06:18:45,78
207,2022-06-15 17:39:31,65
208,2022-06-16 11:43:21,78
209,2022-06-17 08:10:25,45
210,2022-06-18 09:21:21,85
211,2022-06-20 13:49:47,40
212,2022-06-21 12:33:33,85
213,2022-06-22 08:46:35,70
214,2022-06-23 04:20:31,65
215,2022-06-23 18:07:28,20
216,2022-06-24 15:08:06,85
217,2022-06-27 04:18:28,25
218,2022-06-27 15:20:22,20
219,2022-06-28 12:29:09,45
220,2022-06-29 07:41:48,25
221,2022-06-29 17:38:24,45
222,2022-06-30 11:28:18,85
223,2022-07-01 06:35:32,90
224,2022-07-01 16:16:53,35
225,2022-07-04 07:30:46,25
226,2022-07-05 12:07:16,25
227,2022-07-06 09:21:54,70
228,2022-07-06 20:41:35,35
229,2022-07-07 15:01:15,78
230,2022-07-08 14:03:44,78
231,2022-07-11 00:17:19,65
232,2022-07-11 14:41:49,85
233,2022-07-12 08:53:32,35
234,2022-07-12 16:12:52,20
235,2022-07-13 10:12:43,85
236,2022-07-14 07:08:00,75
237,2022-07-14 18:02:32,75
238,2022-07-15 17:19:26,85
239,2022-07-18 07:07:33,65
240,2022-07-18 17:25:17,85
241,2022-07-19 09:17:27,25
242,2022-07-19 16:50:34,25
243,2022-07-20 10:26:18,85
244,2022-07-21 05:18:21,85
245,2022-07-21 14:05:47,20
246,2022-07-22 08:51:09,35
247,2022-07-22 20:27:40,75
248,2022-07-25 04:52:24,85
249,2022-07-25 12:06:33,85
250,2022-07-26 05:04:02,85
251,2022-07-26 15:51:04,75
252,2022-07-27 09:57:36,70
253,2022-07-27 18:00:49,78
254,2022-07-28 10:06:32,85
255,2022-07-28 18:03:15,85
256,2022-07-29 07:30:37,85
257,2022-07-29 14:07:37,90
258,2022-07-31 05:09:28,65
259,2022-08-01 10:23:46,78
260,2022-08-02 06:02:44,20
261,2022-08-02 17:09:29,45
262,2022-08-03 12:37:03,78
263,2022-08-04 08:29:28,75
264,2022-08-04 22:47:53,20
265,2022-08-05 17:27:39,85
266,2022-08-08 05:52:31,78
267,2022-08-08 20:04:08,78
268,2022-08-09 11:22:23,20
269,2022-08-10 10:04:47,78
270,2022-08-11 06:50:04,72
271,2022-08-11 20:53:37,42
272,2022-08-12 14:37:19,85
273,2022-08-13 13:01:40,85
274,2022-08-15 09:27:40,25
275,2022-08-15 22:02:52,78
276,2022-08-16 14:03:48,85
277,2022-08-17 08:28:07,35
278,2022-08-18 02:38:26,50
279,2022-08-18 16:47:31,85
280,2022-08-19 12:22:43,78
281,2022-08-21 10:07:23,85
282,2022-08-22 12:37:25,40
283,2022-08-23 09:03:31,35
284,2022-08-24 07:34:53,85
285,2022-08-25 02:34:40,25
286,2022-08-25 20:32:48,65
287,2022-08-26 15:24:32,45
288,2022-08-29 02:24:29,60
289,2022-08-29 15:06:28,35
290,2022-08-30 11:03:38,25
291,2022-08-31 06:16:21,85
292,2022-08-31 17:38:35,85
293,2022-09-01 12:04:40,20
294,2022-09-02 08:17:18,78
295,2022-09-04 09:31:24,85
296,2022-09-06 05:40:14,75
297,2022-09-06 12:32:55,75
298,2022-09-07 04:34:30,85
299,2022-09-07 12:46:14,25
300,2022-09-07 15:43:05,20
301,2022-09-08 01:11:58,85
302,2022-09-08 09:29:19,65
303,2022-09-08 17:05:35,65
304,2022-09-09 10:54:22,42
305,2022-09-10 09:18:26,87
306,2022-09-12 09:02:17,35
307,2022-09-12 19:06:20,78
308,2022-09-13 11:04:49,25
309,2022-09-14 05:17:55,85
310,2022-09-14 14:03:23,25
311,2022-09-15 07:34:48,78
312,2022-09-15 17:34:56,42
313,2022-09-16 13:58:47,65
314,2022-09-19 04:41:21,75
315,2022-09-19 14:59:28,85
316,2022-09-20 09:23:24,78
317,2022-09-20 22:19:39,42
318,2022-09-21 16:06:49,20
319,2022-09-22 11:11:38,78
320,2022-09-23 06:30:49,85
321,2022-09-23 18:27:21,78
322,2022-09-26 07:17:08,85
323,2022-09-27 04:06:24,45
324,2022-09-27 16:50:03,65
325,2022-09-28 09:01:47,78
326,2022-09-28 17:43:35,40
327,2022-09-29 09:41:35,20
328,2022-09-29 16:41:20,85
329,2022-09-30 09:18:49,65
330,2022-10-01 21:30:42,85
331,2022-10-03 10:06:41,25
332,2022-10-04 06:07:48,85
333,2022-10-04 13:22:43,20
334,2022-10-05 08:21:45,30
335,2022-10-06 06:41:32,65
336,2022-10-06 16:11:37,35
337,2022-10-07 13:35:41,85
338,2022-10-09 22:23:34,35
339,2022-10-10 11:42:27,20
340,2022-10-11 08:45:40,75
341,2022-10-11 16:21:34,75
342,2022-10-12 11:29:34,65
343,2022-10-13 05:18:19,85
344,2022-10-13 13:02:54,72
345,2022-10-14 08:06:06,65
346,2022-10-15 19:09:26,65
347,2022-10-17 07:50:27,78
348,2022-10-17 14:03:10,72
349,2022-10-18 08:27:01,25
350,2022-10-18 13:53:34,25
351,2022-10-19 06:45:41,25
352,2022-10-19 14:22:39,65
353,2022-10-20 10:19:36,65
354,2022-10-21 06:14:53,20
355,2022-10-21 16:02:07,35
356,2022-10-23 16:31:35,35
357,2022-10-24 11:57:18,85
358,2022-10-25 05:14:41,20
359,2022-10-25 13:02:23,45
360,2022-10-26 07:17:17,85
361,2022-10-26 15:26:42,65
362,2022-10-27 07:02:46,35
363,2022-10-27 16:40:06,78
364,2022-10-28 05:06:22,85
365,2022-10-28 11:24:31,85
366,2022-10-29 07:47:33,75
367,2022-10-31 04:35:17,75
368,2022-10-31 14:02:41,78
369,2022-11-01 07:11:31,72
370,2022-11-01 22:06:21,85
371,2022-11-02 14:21:32,85
372,2022-11-03 08:47:53,85
373,2022-11-03 18:00:40,78
374,2022-11-04 11:34:30,35
375,2022-11-05 17:02:52,78
376,2022-11-07 07:10:37,85
377,2022-11-07 15:18:31,70
378,2022-11-08 08:44:33,85
379,2022-11-08 18:42:29,20
380,2022-11-09 11:20:21,35
381,2022-11-10 07:00:04,20
382,2022-11-10 14:16:35,85
383,2022-11-11 08:35:53,75
384,2022-11-13 00:06:23,85
385,2022-11-14 11:02:40,78
386,2022-11-15 07:05:17,10
387,2022-11-15 15:18:52,65
388,2022-11-16 08:41:27,25
389,2022-11-16 17:01:36,42
390,2022-11-17 10:12:35,85
391,2022-11-18 03:06:54,35
392,2022-11-19 09:00:09,42
393,2022-11-21 07:38:29,85
394,2022-11-21 19:13:16,75
395,2022-11-22 15:03:29,78
396,2022-11-23 08:33:45,85
397,2022-11-23 20:49:46,20
398,2022-11-25 03:15:42,45
399,2022-11-25 13:50:20,65
400,2022-11-27 09:56:24,35
401,2022-11-28 08:17:53,35
402,2022-11-28 15:58:16,85
403,2022-11-29 05:49:38,20
404,2022-11-29 13:29:59,85
405,2022-11-30 06:22:05,85
406,2022-11-30 14:36:21,35
407,2022-12-01 08:12:55,85
408,2022-12-01 18:59:47,85
409,2022-12-02 14:33:33,25
410,2022-12-04 09:17:25,20
411,2022-12-05 11:21:04,85
412,2022-12-06 07:26:20,35
413,2022-12-06 16:08:25,75
414,2022-12-07 08:10:31,85
415,2022-12-07 18:06:37,85
416,2022-12-08 11:11:27,85
417,2022-12-09 08:35:30,20
418,2022-12-10 17:31:31,85
419,2022-12-12 14:54:41,65
420,2022-12-13 10:21:44,20
421,2022-12-14 05:20:44,78
422,2022-12-14 16:04:29,70
423,2022-12-15 09:36:15,85
424,2022-12-16 02:01:20,65
425,2022-12-16 17:31:12,65
426,2022-12-19 07:05:16,85
427,2022-12-19 18:39:51,75
428,2022-12-20 11:47:29,35
429,2022-12-21 08:39:33,85
430,2022-12-22 05:52:16,25
431,2022-12-22 19:15:04,75
432,2022-12-23 17:08:16,65
433,2022-12-26 22:27:10,65
434,2022-12-27 16:40:30,85
435,2022-12-28 13:28:50,25
436,2022-12-29 08:36:33,20
437,2022-12-29 22:15:25,85
438,2022-12-31 05:29:45,78
439,2022-01-01 01:36:26,20
440,2022-01-02 02:05:27,20
441,2022-01-03 06:28:26,25
442,2022-01-03 10:22:45,78
443,2022-01-03 13:54:16,20
444,2022-01-03 15:51:23,85
445,2022-01-03 18:31:37,85
446,2022-01-04 02:12:34,35
447,2022-01-04 07:16:35,35
448,2022-01-04 08:45:41,25
449,2022-01-04 10:49:28,70
450,2022-01-04 12:53:38,85
451,2022-01-04 16:22:15,25
452,2022-01-05 00:03:49,85
453,2022-01-05 08:32:40,85
454,2022-01-05 11:44:24,25
455,2022-01-05 15:06:36,85
456,2022-01-06 04:25:30,78
457,2022-01-06 09:16:33,78
458,2022-01-06 13:11:41,85
459,2022-01-06 17:42:21,85
460,2022-01-07 06:45:01,20
461,2022-01-07 10:26:31,85
462,2022-01-07 14:24:45,85
463,2022-01-08 08:12:24,45
464,2022-01-09 08:02:52,25
465,2022-01-10 03:39:53,85
466,2022-01-10 08:20:14,25
467,2022-01-10 10:41:37,20
468,2022-01-10 13:52:34,45
469,2022-01-10 21:22:39,85
470,2022-01-11 05:56:22,70
471,2022-01-11 09:17:22,20
472,2022-01-11 13:09:07,20
473,2022-01-11 20:57:39,35
474,2022-01-12 07:08:32,75
475,2022-01-12 09:42:44,78
476,2022-01-12 13:26:18,75
477,2022-01-12 18:20:17,75
478,2022-01-13 05:05:30,85
479,2022-01-13 08:35:29,78
480,2022-01-13 11:41:28,85
481,2022-01-13 15:22:46,85
482,2022-01-14 01:18:18,78
483,2022-01-14 09:07:32,85
484,2022-01-14 12:56:57,20
485,2022-01-14 17:07:19,85
486,2022-01-15 15:18:51,85
487,2022-01-17 03:23:19,25
488,2022-01-17 09:42:22,35
489,2022-01-17 21:20:20,35
490,2022-01-18 07:24:45,78
491,2022-01-18 10:15:31,25
492,2022-01-18 13:40:41,78
493,2022-01-18 17:40:57,78
494,2022-01-19 06:12:55,75
495,2022-01-19 09:31:27,45
496,2022-01-19 12:48:19,60
497,2022-01-19 15:45:25,75
498,2022-01-20 03:45:43,75
499,2022-01-20 08:19:52,78
500,2022-01-20 10:22:35,78
501,2022-01-20 14:09:35,85
502,2022-01-20 18:30:07,75
503,2022-01-21 07:37:12,70
504,2022-01-21 10:55:27,20
505,2022-01-21 14:04:26,65
506,2022-01-21 19:04:24,85
507,2022-01-22 15:01:47,65
508,2022-01-23 16:41:07,85
509,2022-01-24 06:03:54,78
510,2022-01-24 08:52:43,85
511,2022-01-24 12:01:37,85
512,2022-01-24 16:09:00,20
513,2022-01-25 01:50:45,85
514,2022-01-25 07:46:32,45
515,2022-01-25 10:34:42,20
516,2022-01-25 13:39:30,65
517,2022-01-25 17:54:29,85
518,2022-01-26 07:01:38,25
519,2022-01-26 09:31:17,75
520,2022-01-26 14:37:16,35
521,2022-01-26 23:56:27,85
522,2022-01-27 07:09:28,75
523,2022-01-27 09:45:33,25
524,2022-01-27 12:36:04,85
525,2022-01-27 15:45:01,25
526,2022-01-27 17:57:21,20
527,2022-01-27 21:32:26,72
528,2022-01-28 05:21:35,75
529,2022-01-28 08:01:52,78
530,2022-01-28 09:41:44,85
531,2022-01-28 11:36:35,85
532,2022-01-28 14:10:29,45
533,2022-01-28 17:26:18,20
534,2022-01-29 09:47:58,25
535,2022-01-30 07:04:27,20
536,2022-01-30 22:02:43,65
537,2022-01-31 06:51:26,65
538,2022-01-31 10:01:46,85
539,2022-01-31 12:47:01,45
540,2022-01-31 17:11:23,85
541,2022-02-01 05:23:32,85
542,2022-02-01 09:48:32,25
543,2022-02-01 12:47:29,78
544,2022-02-01 15:47:45,78
545,2022-02-02 02:35:58,78
546,2022-02-02 08:44:19,20
547,2022-02-02 12:02:39,75
548,2022-02-02 16:03:23,65
549,2022-02-02 20:01:25,85
550,2022-02-03 06:34:39,75
551,2022-02-03 09:14:20,72
552,2022-02-03 11:30:39,40
553,2022-02-03 13:20:27,85
554,2022-02-03 15:23:16,85
555,2022-02-03 18:06:28,85
556,2022-02-04 04:51:35,85
557,2022-02-04 09:08:31,25
558,2022-02-04 11:31:33,25
559,2022-02-04 15:27:51,72
560,2022-02-05 03:05:24,35
561,2022-02-05 19:36:24,85
562,2022-02-06 17:25:20,78
563,2022-02-07 07:20:46,65
564,2022-02-07 10:35:23,40
565,2022-02-07 13:43:43,40
566,2022-02-07 18:07:29,85
567,2022-02-08 06:07:02,85
