,date,news,score
0,2022-01-01 00:32:44,"I actually lost weight this holiday season — thanks to this handy appHere's what happened when I tried the FatSecret app
",0
1,2022-01-03 08:16:20,"7 of the Best Cryptos for 2022 to Buy NowThese are the best cryptos to buy in 2022 for multi-fold returns. It's a mix of emerging and established coins with good use cases.
",1
2,2022-01-03 15:35:48,"Sharemarkets are bracing for a rollercoaster 2022For two years, markets have been shielded from the pandemic by policies that helped keep them buoyant, Investors can now say goodbye to all that.
",-1
3,2022-01-04 05:49:27,"Apple Inc. (NASDAQ:AAPL) Position Lifted by Sather Financial Group IncSather Financial Group Inc raised its stake in shares of Apple Inc. (NASDAQ:AAPL) by 31.6% during the third quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The fund owned 27,711 shares of the iPhone maker’s stock after acquiring an additional 6,648 shares during the quarter. Apple makes up 0.4% […]
",1
4,2022-01-04 10:47:02,"Company News for Jan 4, 2022Companies In The News Are: TSLA, T, DISCA, AAPL, NIO.
",0
5,2022-01-04 17:50:20,"The Rocket Science of Investing -- Armageddon Yet to ArriveGuruFocus Article or News written by Wade W. Slome, CFA, CFP and the topic is about: In the face of an incredibly scary global pandemic, the stock market completed a phenomenal year
",1
6,2022-01-05 11:35:31,"Jon Stewart Blasts Harry Potter Goblins As Anti-Semitic, And He's RightStewart made the comments on an episode of his ""The Problem"" podcast.
",0
7,2022-01-06 07:22:22,"Intrivo's leading rapid COVID-19 self-test On/Go™ can now be delivered in as little as 15-20 minutes to consumers nationwide by Gopuff-- Today, starting at 12pm PST/3pm EST consumers in more than 1,000 U.S. cities can order On/Go COVID-19 rapid self-tests on Gopuff and get them delivered in minutes
",1
8,2022-01-06 17:32:25,"Google Must Halt Some Device Imports in Sonos’ Trade Agency Win
",0
9,2022-01-07 12:13:47,"S&P 500: Consolidation And A Mild Reaction To The Jobs DataThe S&P 500 index lost 0.1% on Thursday, as it fluctuated following Wednesday’s sell-off of almost 2%. The market reached a new low at 4,671.26 before bouncing back to the 4,700 level. It traded almost 150 points below Tuesday’s high of 4,818.62.
",-1
10,2022-01-09 07:50:33,"3 Tech Stocks Down 37% to 60% to Buy for 2022These solid companies are getting unfairly punished by the market. Savvy investors should take note.
",1
11,2022-01-10 09:13:20,"Factors to Note Ahead of Infosys' (INFY) Q3 Earnings ReleaseThough Infosys' (INFY) Q3 performance is likely to have benefited from the ongoing digital transformations and large deal wins, elevated expenses might have hurt the bottom line.
",0
12,2022-01-10 20:06:47,"Why People Couldn’t Stand Apple’s “Hockey Puck” MouseGiven Apple’s current reputation as one of the world’s most sought after and admired tech brands, it’s hard for many to believe the company has had more than a handful of design c…
",0
13,2022-01-11 10:58:32,"Apple's 2021 iPad is in stock and on sale for just $299 in epic deal at AmazonApple's 10.2-inch iPad is back down to a record-low price
",1
14,2022-01-12 06:50:17,"1 Reason Investors Should Love Apple StockThis catalyst is powerful -- and it could persist for years.
",1
15,2022-01-12 15:31:05,"Apple's (AAPL) Interests Lies in AR Than in the MetaverseApple (AAPL) is more interested with augmented reality and bringing digital objects to the real world rather than in metaverse.
",1
16,2022-01-13 08:20:16,"fuboTV Acquires Exclusive Premier League Rights in Canada Beginning With 2022/2023 SeasonMulti-season deal gives fuboTV sole Premier League rights for all media platforms in Canada starting August 2022
",1
17,2022-01-13 17:38:24,"Weitzel Financial Services, Inc. Buys PowerShares QQQ Trust Ser 1, iShares Core Moderate ...GuruFocus Article or News written by insider and the topic is about: 
",0
18,2022-01-14 12:39:46,"Wall St dragged down by financials after mixed results from big banksWall Street’s main indexes fell on Friday
",-1
19,2022-01-16 07:05:44,"Apple Inc. (NASDAQ:AAPL) Shares Sold by Affinity Investment Advisors LLCAffinity Investment Advisors LLC lessened its holdings in Apple Inc. (NASDAQ:AAPL) by 2.4% in the 3rd quarter, Holdings Channel reports. The firm owned 53,793 shares of the iPhone maker’s stock after selling 1,308 shares during the quarter. Apple accounts for 3.4% of Affinity Investment Advisors LLC’s portfolio, making the stock its biggest holding. Affinity Investment […]
",0
20,2022-01-17 19:37:24,"EU’s Tough Data Privacy Rules Rake in Biggest Annual Fines
",0
21,2022-01-18 11:41:02,"Israeli citizens hacked by police using Pegasus, newspaper saysThe Israeli official in charge of police pledged on Tuesday to ensure that electronic surveillance in criminal investigations is conducted by the book after a newspaper reported illicit use of a controversial hacking tool against citizens of the country.
",0
22,2022-01-19 05:38:15,"Dubuque Bank & Trust Co. Has $27.86 Million Stake in Apple Inc. (NASDAQ:AAPL)Dubuque Bank & Trust Co. cut its holdings in Apple Inc. (NASDAQ:AAPL) by 4.1% in the 3rd quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The institutional investor owned 196,902 shares of the iPhone maker’s stock after selling 8,510 shares during the period. Apple makes up approximately […]
",0
