,ret,sco,date
0,0.0,0.29411764705882354,2021-01-01
1,0.0,0.54,2021-01-02
2,0.0,0.6,2021-01-03
3,-0.009443613756197348,0.46,2021-01-04
4,0.005441282113568719,0.6,2021-01-05
5,0.046955829685634734,0.54,2021-01-06
6,0.03283922462941845,0.62,2021-01-07
7,0.0011039964672113747,0.52,2021-01-08
8,0.0,0.02,2021-01-09
9,0.0,0.28,2021-01-10
10,0.014924275841787899,0.1,2021-01-11
11,0.015718942412169607,0.42,2021-01-12
12,0.0009271145343030771,0.44,2021-01-13
13,0.0058425365158533745,0.36,2021-01-14
14,-0.017921654742509074,0.44,2021-01-15
15,0.0,0.38,2021-01-16
16,0.0,0.36,2021-01-17
17,0.0,0.56,2021-01-18
18,-0.004327755337564968,0.58,2021-01-19
19,-0.014995653433787254,0.6,2021-01-20
20,-0.00838420239758778,0.58,2021-01-21
21,-0.007713416895349618,0.36,2021-01-22
22,0.0,0.58,2021-01-23
23,0.0,0.56,2021-01-24
24,-0.012482248299573943,0.46,2021-01-25
25,-0.004087193460490489,0.6,2021-01-26
26,-0.028271773825809428,0.38,2021-01-27
27,0.017597372125762584,0.66,2021-01-28
28,-0.01106755821996771,0.6,2021-01-29
29,0.0,0.32,2021-01-30
30,0.0,0.32,2021-01-31
31,0.007383228413771653,0.64,2021-02-01
32,0.03078228668415373,0.62,2021-02-02
33,0.011451238679739458,0.54,2021-02-03
34,0.023013171525825046,0.42,2021-02-04
35,-0.0019529837251355251,0.76,2021-02-05
36,0.0,0.5625,2021-02-06
37,0.0,0.24,2021-02-07
38,0.015654442672851123,0.5,2021-02-08
39,-0.003996003996004029,0.44,2021-02-09
40,0.0005731480154750326,0.54,2021-02-10
41,-0.0027924960618644842,0.64,2021-02-11
42,0.014216988583327364,0.58,2021-02-12
43,0.0,0.6,2021-02-13
44,0.0,0.4,2021-02-14
45,0.0,0.66,2021-02-15
46,0.024070796460176985,0.5,2021-02-16
47,0.0031109574835810417,0.14,2021-02-17
48,0.0033769813921433506,0.18,2021-02-18
49,0.016690706779311764,0.66,2021-02-19
50,0.0,0.58,2021-02-20
51,0.0,0.6326530612244898,2021-02-21
52,0.00939062288879878,0.2,2021-02-22
53,0.008031590924302145,0.4,2021-02-23
54,0.017595113206294494,0.46,2021-02-24
55,-0.013571708208273577,0.42,2021-02-25
56,-0.026524672575737582,0.28,2021-02-26
57,0.0,0.58,2021-02-27
58,0.0,0.7,2021-02-28
59,0.022626894068084706,0.7,2021-03-01
60,-0.0032558139534883735,0.48,2021-03-02
61,0.019332044530364634,0.12,2021-03-03
62,-0.01536851742855291,0.08,2021-03-04
63,0.002324654622741911,0.4,2021-03-05
64,0.0,0.36363636363636365,2021-03-06
65,0.0,0.5,2021-03-07
66,0.013252932211251761,0.26,2021-03-08
67,-0.007062978222483858,0.52,2021-03-09
68,0.021734835012843266,0.42,2021-03-10
69,-0.005221427190098561,0.68,2021-03-11
70,0.011858475894245676,0.38,2021-03-12
71,0.0,0.34,2021-03-13
72,0.0,0.4,2021-03-14
73,-0.004995196926032583,0.62,2021-03-15
74,-0.011971423054643916,0.54,2021-03-16
75,0.01029248908865877,0.5,2021-03-17
76,0.016506544587014043,0.42,2021-03-18
77,-0.015921344751030794,0.4,2021-03-19
78,0.0,0.14,2021-03-20
79,0.0,0.48936170212765956,2021-03-21
80,-0.026878948046925272,0.52,2021-03-22
81,-0.010001987149764874,0.4,2021-03-23
82,0.007761273919443202,0.46,2021-03-24
83,0.012813703359447612,0.74,2021-03-25
84,0.0166502785971813,0.42,2021-03-26
85,0.0,0.4418604651162791,2021-03-27
