,content,sentiment
0,"
",0
1,"Irish Prime Minister Leo Varadkar has been lauded for his role in negotiations. Voters just want to focus on other issues.
",0
2,"Apple Inc. (NASDAQ:AAPL) – Equities researchers at Jefferies Financial Group cut their Q2 2020 EPS estimates for Apple in a research report issued on Wednesday, January 29th. Jefferies Financial Group analyst K. Mcnealy now anticipates that the iPhone maker will post earnings per share of $3.00 for the quarter, down from their previous forecast of […]
",0
3,"Acorn Financial Advisory Services Inc. ADV purchased a new stake in shares of Apple Inc. (NASDAQ:AAPL) in the fourth quarter, according to its most recent disclosure with the Securities & Exchange Commission. The firm purchased 8,581 shares of the iPhone maker’s stock, valued at approximately $2,520,000. Apple comprises 2.1% of Acorn Financial Advisory Services Inc. […]
",1
4,"Beck Bode LLC raised its holdings in Apple Inc. (NASDAQ:AAPL) by 2.3% during the 4th quarter, according to the company in its most recent disclosure with the SEC. The firm owned 19,618 shares of the iPhone maker’s stock after buying an additional 441 shares during the quarter. Apple accounts for 2.4% of Beck Bode LLC’s […]
",0
5,"UBS Group set a $355.00 price objective on Apple (NASDAQ:AAPL) in a research report report published on Wednesday morning, Borsen Zeitung reports. The firm currently has a buy rating on the iPhone maker’s stock. Other research analysts also recently issued reports about the stock. Cowen upped their target price on shares of Apple from $325.00 […]
",0
6,"Sanford C. Bernstein restated their hold rating on shares of Apple (NASDAQ:AAPL) in a report released on Wednesday, TipRanks reports. Sanford C. Bernstein currently has a $300.00 price target on the iPhone maker’s stock. Several other research analysts have also weighed in on AAPL. Royal Bank of Canada raised their price objective on shares of […]
",0
7,"Cookson Peirce & Co. Inc. bought a new position in shares of Apple Inc. (NASDAQ:AAPL) during the 4th quarter, according to its most recent 13F filing with the Securities and Exchange Commission. The fund bought 3,130 shares of the iPhone maker’s stock, valued at approximately $919,000. Several other institutional investors also recently modified their holdings […]
",1
8,"CNB Bank increased its position in shares of Apple Inc. (NASDAQ:AAPL) by 6.6% in the fourth quarter, HoldingsChannel reports. The firm owned 11,791 shares of the iPhone maker’s stock after purchasing an additional 725 shares during the period. Apple makes up approximately 2.9% of CNB Bank’s investment portfolio, making the stock its 3rd biggest holding. […]
",1
9,"Howard Financial Services LTD. boosted its position in Apple Inc. (NASDAQ:AAPL) by 2.0% in the fourth quarter, Holdings Channel.com reports. The firm owned 16,895 shares of the iPhone maker’s stock after acquiring an additional 325 shares during the quarter. Apple makes up about 3.1% of Howard Financial Services LTD.’s holdings, making the stock its 8th […]
",1
10,"How will Apple's (NASDAQ:AAPL) decision to temporarily shutter its stores in China (through Feb. 9) affect the iPhone maker's top line?""We believe with the limited transportation in major cities t
",0
11,"Former vice president Al Gore has served on the iPhone maker’s board since 2003. Apple stock has rocketed in value as of late.
",0
12,"Traditional indicators have suddenly stopped mattering in a stock market driven by global health concerns, for good reason. They can say little of value in assessing the worsening toll of the coronavirus.
",1
13,"Amid the sea of red on my trading screens on Friday, one holding stood out and that was Tesla
",0
14,"Investors have started to worry that the spread of coronavirus in China, and beyond, could harm the fortunes of some of America’s biggest companies.  Among those is Apple Inc. (NASDAQ: AAPL) which has closed its stores in China. Estimates are that Apple could lose the sales of a million iPhones, or perhaps those purchases will […] 
",-1
15,"The ability to tap Star Treck fans as subscribers could help ViacomCBS as it battles a galaxy of rivals in the streaming wars.
",-1
16,"As Apple has taken a decision to temporarily close its stores in China due to the coronavirus, the sales of 1 million iPhones can be delayed.
",0
17,"As with all outbreaks and panics, thousands of illnesses and a rising death toll is what matters the most. There are still economic impacts that occur as well. With the outbreak of the coronavirus in China having spread to other nations, there is now practically no way that China will not take a serious hit […] 
",-1
18,"The most popular music streaming service in India, the world’s biggest untapped digital economy, isn’t from Spotify Technology SA or Apple Inc. Instead, it is a local rival little known outside the country.
",0
19,"Over the years, numerous retail chains have filed for bankruptcy protection twice. Examples include Barneys New York, RadioShack, Wet Seal and American Apparel.
",0
20,"Concerns over the outbreak of coronavirus from China have largely overshadowed c...
",0
21,"Apple’s stock outperformed Samsung’s over the past year, but the South Korean tech giant’s growth engines are warming up again.
",1
22,"Apple's price has more than doubled in one year; P/E ratio has likewise risen by a substantial amount. Apple's dividend is now below 1%, but dividend growth is 
",1
